id,subBooks
978-7-5201-3764-5,法学所60年学术精品选萃
978-7-308-18457-1,用声音叙事
978-7-214-22717-1,党政机关工作实务丛书
978-7-5660-1621-8,苏曼堪钦白玛襄嘉文集
978-7-5421-4357-0,菩提叶丛书
978-7-5581-4740-1,麦格希中英双语阅读文库
978-7-5596-2636-3,纸片人斯坦利环球历险记
978-7-205-09269-6,传世名著典藏丛书
978-7-5484-4382-7,影响孩子一生的名人故事
978-7-214-22292-3,社科文库
978-7-5508-2449-2,中华经典国学读本丛书
978-7-5102-2044-9,刑罚理性四部曲
978-7-5201-3011-0,招商局文库
978-7-5180-5005-5,改变世界的名人双语读物
978-7-5685-1447-7,不用教，孩子就会读
978-7-220-10937-9,巴蜀史研究丛书
978-7-5486-1395-4,先秦诸子丛书
978-7-5482-3254-4,青少年世界文明教育文库
978-7-300-16843-2,国家清史编纂委员会・文献丛刊
978-7-5461-7640-6,环巢湖文化研究丛书
978-7-5312-4255-0,影响孩子一生的国学启蒙经典
978-7-121-33719-2,华为精准管理丛书
978-7-5648-3229-2,国学经典
978-7-5628-5630-6,梦工场经典电影双语阅读
978-7-5203-3086-2,国家智库报告
978-7-206-15049-4,浪淘沙丛书
978-7-5621-9404-0,《西南大学学报》建设丛书
978-7-5201-3821-5,汽车与保险蓝皮书
978-7-5590-2833-4,小博士新课标大阅读
978-7-5203-0938-7,中国制度研究丛书
978-7-5332-9681-0,马小跳发现之旅
978-7-5536-7344-8,Mint Readers
978-7-03-058014-6,旅游文化与管理系列丛书
978-7-301-29843-5,光华思想力书系
978-7-5203-3149-4,湖北农业农村改革开放40年（1978-2018）丛书
978-7-5325-8773-5,广西地方古籍整理研究丛书
978-7-5667-1613-2,当代湖湘伦理学文库
978-7-5203-3070-1,吉林大学哲学基础理论研究中心研究员自选集
978-7-5658-3525-4,兽医兽药法律法规学习读本
978-7-5414-9294-5,彩插版成长・励志 : 名人传记故事
978-7-5002-8673-8,全国推动读书十大人物韩兴娥课内海量阅读丛书
978-7-5578-4975-7,传统中国
978-7-5581-4776-0,麦格希中英双语阅读文库
978-7-5113-7606-0,内在心灵修炼课
978-7-5143-6997-7,佛光山金玉满堂系列
978-7-5183-2392-0,看得见的世界史
978-7-5001-5454-9,双语名著无障碍阅读丛书
978-7-5340-6646-7,中国文化史迹
978-7-5658-3523-0,养殖管理法律法规学习读本
978-7-5554-0970-0,文华丛书
978-7-5484-3763-5,快乐成语1+1
978-7-5095-8138-4,健康保险系列丛书
978-7-5205-0184-2,文史存典系列丛书
978-7-5704-0810-8,文礼幼儿大字经典诵读系列
978-7-5581-4791-3,麦格希中英双语阅读文库
978-7-303-24066-1,“一带一路”古文明书系
978-7-5457-1663-4,法显文化丛书
978-7-5402-5163-5,中华优秀传统文化注音读本
978-7-5396-6471-2,新力量文丛
978-7-5480-6011-6,时光新文库
978-7-5450-5912-0,我爱阅读
978-7-122-31010-1,图说餐饮管理系列
978-7-100-15893-0,经济学名著译丛
978-7-100-16098-8,朱子学文库
978-7-5201-2929-9,东方历史学术文库
978-7-5581-4797-5,麦格希中英双语阅读文库
978-7-5133-3448-8,大国治贫
978-7-121-33489-4,创新工场
978-7-5135-9883-5,世界名人小传英汉双语阅读
978-7-5201-2776-9,澳门绿皮书
978-7-309-14037-8,马克思主义经典著作当代解读
978-7-200-13311-0,新家庭书架 : 升级版
978-7-5472-5373-1,书香口袋丛书
978-7-5203-2376-5,中国南方侵华日军细菌战研究丛书
978-7-101-13134-5,中华经典指掌文库
978-7-5154-0908-5,《孔子文化与人类发展》丛书
978-7-5197-2163-3,公司律师业务进阶系列
978-7-5126-6831-7,凛冬集
978-7-5593-2766-6,吕世伦法学论丛
978-7-5429-5908-9,去梯言
978-7-5507-2237-8,世界文学经典读本
978-7-5584-0736-9,唱啊唱啊唱歌谣
978-7-309-14029-3,马克思主义与当代中国问题
978-7-5180-5060-4,经典英文枕边书
978-7-5093-9822-7,实务精要与疑难解析系列
978-7-5497-1894-8,中国蒙古学文库
978-7-5212-0309-7,21世纪文学之星丛书
978-7-5599-0837-7,云南古代汉文学要籍
978-7-5472-5356-4,书香口袋丛书
978-7-5441-9725-0,沈阳历史文化典籍丛书
978-7-5488-3094-8,“讲好中国故事”系列丛书
978-7-100-16479-5,中国古典文学英译丛书
978-7-108-06223-9,茅海建戊戌变法研究
978-7-5594-2968-1,知行合一王阳明大全集
978-7-5396-5699-1,国别文化史系列
978-7-02-013851-7,中国古典文学读本丛书典藏
978-7-5334-8172-8,南帆文集
978-7-300-16843-2,国家清史编纂委员会・文献丛刊
978-7-5439-7760-0,传统文化修养丛书
